original_title,runtime,year_release,revenue_final_adjusted
The Squaw Man,74.0,1914,2456694
The Cheat,59.0,1915,1379092
The Birth of a Nation,193.0,1915,110435817
"20,000 Leagues Under the Sea",105.0,1916,80316958
Mickey,93.0,1918,80316958
The Kid,68.0,1921,25099049
Foolish Wives,117.0,1922,4017855
Safety Last!,70.0,1923,6254
The Thief of Bagdad,149.0,1924,12186893
Girl Shy,80.0,1924,15561410
The Gold Rush,95.0,1925,25099049
Броненосец «Потёмкин»,75.0,1925,452786
The Merry Widow,137.0,1925,10
The Big Parade,151.0,1925,220871635
The Freshman,76.0,1925,26103011
Ben-Hur: A Tale of the Christ,143.0,1925,90356578
The Unholy Three,86.0,1925,7067892
Sparrows,84.0,1926,9707087
Flesh and the Devil,112.0,1926,6606069
Sunrise: A Song of Two Humans,94.0,1927,1214
My Best Girl,80.0,1927,10318289
Metropolis,153.0,1927,6529989
Lights of New York,57.0,1928,12047543
Across to Singapore,85.0,1928,5983613
The Mysterious Lady,89.0,1928,5531
Street Angel,102.0,1928,17067353
West of Zanzibar,65.0,1928,9246489
"The Life and Death of 9413, a Hollywood Extra",11.0,1928,973
Wild Orchids,100.0,1929,11696157
The Broadway Melody,100.0,1929,43752663
Our Modern Maidens,76.0,1929,8603954
Half Shot at Sunrise,78.0,1930,9326806
Hell's Angels,127.0,1930,80316958
The Cuckoos,97.0,1930,8664191
"Hook, Line and Sinker",75.0,1930,7830903
L'âge d'or,63.0,1930,79714
Mata Hari,89.0,1931,22358233
Cracked Nuts,65.0,1931,6194445
Frankenstein,71.0,1931,120475437
Cimarron,123.0,1931,13884794
City Lights,87.0,1931,192569
Dracula,72.0,1931,10161992
What Price Hollywood?,88.0,1932,5732622
Grand Hotel,112.0,1932,26042773
Scarface,90.0,1932,6023771
The Animal Kingdom,85.0,1932,5300919
A Farewell to Arms,89.0,1932,250
A Farewell to Arms,89.0,1932,250
The Phantom of Crestwood,76.0,1932,4377274
I'm No Angel,87.0,1933,28612916
42nd Street,89.0,1933,22900372
Hold Your Man,87.0,1933,11043581
Little Women,115.0,1933,20079239
Cavalcade,110.0,1933,76602298
Flying Down to Rio,89.0,1933,15511212
