original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
The Cheat,59.0,1915,173795,1379092
The Birth of a Nation,193.0,1915,1003961,110435817
"20,000 Leagues Under the Sea",105.0,1916,2007923,80316958
Mickey,93.0,1918,2509904,80316958
The Kid,68.0,1921,2509904,25099049
Foolish Wives,117.0,1922,11043581,4017855
The Thief of Bagdad,149.0,1924,11401534,12186893
The Unholy Three,86.0,1925,1034080,7067892
The Big Parade,151.0,1925,2459706,220871635
The Merry Widow,137.0,1925,5943,10
The Gold Rush,95.0,1925,9266569,25099049
Ben-Hur: A Tale of the Christ,143.0,1925,39154517,90356578
Sparrows,84.0,1926,4652911,9707087
Flesh and the Devil,112.0,1926,3744778,6606069
Metropolis,153.0,1927,929869584,6529989
My Best Girl,80.0,1927,4850170,10318289
Across to Singapore,85.0,1928,2911489,5983613
Lights of New York,57.0,1928,752971,12047543
The Mysterious Lady,89.0,1928,3383,5531
West of Zanzibar,65.0,1928,2600261,9246489
The Broadway Melody,100.0,1929,3805015,43752663
Wild Orchids,100.0,1929,3232757,11696157
Hell's Angels,127.0,1930,39656498,80316958
Dracula,72.0,1931,3564065,10161992
Frankenstein,71.0,1931,2921529,120475437
Mata Hari,89.0,1931,5602107,22358233
City Lights,87.0,1931,15059429,192569
A Farewell to Arms,89.0,1932,40,250
A Farewell to Arms,89.0,1932,40,250
Grand Hotel,112.0,1932,7027733,26042773
King Kong,100.0,1933,6746624,100396197
42nd Street,89.0,1933,4407393,22900372
Queen Christina,99.0,1933,11184136,26203407
Hold Your Man,87.0,1933,2610301,11043581
Little Women,115.0,1933,4256,20079239
Cavalcade,110.0,1933,11849562,76602298
She Done Him Wrong,66.0,1933,2007923,22087163
I'm No Angel,87.0,1933,2258914,28612916
It Happened One Night,105.0,1934,3262876,45178289
The Painted Veil,85.0,1934,9507519,11244374
The Thin Man,93.0,1934,2273050,14286378
The Informer,91.0,1935,2439627,9537638
Star of Midnight,90.0,1935,2811,8342
Top Hat,101.0,1935,6114128,32146862
Anna Karenina,95.0,1935,11565641,14447012
Mutiny on the Bounty,132.0,1935,19577258,44776704
Modern Times,87.0,1936,10,85336768
San Francisco,115.0,1936,13051505,52938915
The Gorgeous Hussy,103.0,1936,11234334,20269992
The Charge of the Light Brigade,115.0,1936,12047543,27468399
Swing Time,103.0,1936,8895103,26103011
Mary of Scotland,123.0,1936,8674231,12810554
Snow White and the Seven Dwarfs,83.0,1937,14943200,1856581567
The Adventures of Robin Hood,102.0,1938,20410547,39967726
Alexander's Ragtime Band,106.0,1938,20079239,40158479
You Can't Take It With You,126.0,1938,16512524,74625507
Ninotchka,110.0,1939,13704081,22880293
The Women,133.0,1939,16946878,22789936
Gone with the Wind,238.0,1939,40158479,4017619494
The Wizard of Oz,102.0,1939,27880024,338887034
Stagecoach,96.0,1939,5334792,11081300
Mr. Smith Goes to Washington,129.0,1939,15059429,96380349
Boom Town,119.0,1940,20079239,92083392
The Great Dictator,125.0,1940,20079239,110435817
Pinocchio,88.0,1940,26103011,846339947
Rebecca,130.0,1940,12931030,60237718
Fantasia,124.0,1940,22890333,836501120
Dumbo,64.0,1941,8152171,16063391
Citizen Kane,119.0,1941,8430539,233096619
How Green Was My Valley,118.0,1941,12549524,60237718
Suspicion,99.0,1941,11073700,45178289
Sergeant York,134.0,1941,14055467,164267104
The Maltese Falcon,100.0,1941,3764857,10039619
Casablanca,102.0,1942,8814786,105039521
Cat People,73.0,1942,1345309,40158479
Mrs. Miniver,134.0,1942,13493248,135534867
Invisible Agent,81.0,1942,3232757,10441204
For Me and My Gal,104.0,1942,8051775,43883178
Bambi,70.0,1942,8613993,2685067697
Five Graves to Cairo,96.0,1943,8583874,12047543
Cabin in the Sky,98.0,1943,6647643,16129894
A Guy Named Joe,120.0,1944,26374081,53842480
Double Indemnity,107.0,1944,9309357,25099049
Wilson,154.0,1944,30068661,20079239
Laura,88.0,1944,10240412,20079239
Bathing Beauty,101.0,1944,23703542,69193059
Scarlet Street,103.0,1945,12067693,29600674
The Lost Weekend,101.0,1945,12549524,110435817
The Valley of Decision,119.0,1945,21685578,91681807
Mildred Pierce,111.0,1945,14587567,56603376
Spellbound,111.0,1945,15059429,70277338
The Best Years of Our Lives,172.0,1946,21083201,237437007
Notorious,102.0,1946,20079239,245616707
Duel in the Sun,144.0,1946,60237718,204808243
It's a Wonderful Life,130.0,1946,31925990,96823338
Gentleman's Agreement,118.0,1947,20079239,78309034
Miranda,80.0,1948,7872768,8376376
The Pirate,102.0,1948,37146593,29677116
Ladri di biciclette,93.0,1948,1335269,3631450
The Treasure of the Sierra Madre,126.0,1948,38150555,43240642
Red River,133.0,1948,30118859,90477053
Rope,80.0,1948,15059429,22087163
3 Godfathers,106.0,1948,12479247,28522559
Fort Apache,125.0,1948,25099049,30118859
She Wore a Yellow Ribbon,103.0,1949,16063391,54213946
Sands of Iwo Jima,100.0,1949,10039619,78309034
Samson and Delilah,128.0,1949,30118859,115455627
Annie Get Your Gun,107.0,1950,37837168,80316958
Cinderella,74.0,1950,29114897,2646357584
羅生門,88.0,1950,2509904,969506
Wabash Avenue,92.0,1950,21233795,20470784
Sunset Boulevard,110.0,1950,17589413,50198098
All About Eve,138.0,1950,14055467,637144
Strangers on a Train,101.0,1951,12047543,70277338
Quo Vadis,171.0,1951,82826863,301188593
Alice in Wonderland,75.0,1951,30118859,5742662515
Valentino,102.0,1951,13051505,15561410
Ace in the Hole,111.0,1951,18282669,13051505
A Streetcar Named Desire,125.0,1951,18071315,80316958
An American in Paris,113.0,1951,27346950,45178289
Show Boat,107.0,1951,23091125,110435817
The African Queen,105.0,1951,13051505,107925912
The Greatest Show on Earth,152.0,1952,40158479,361426312
Singin' in the Rain,103.0,1952,25508665,72285262
Scaramouche,115.0,1952,30169057,67727275
High Noon,85.0,1952,7328922,80316958
Abbott and Costello Meet Captain Kidd,70.0,1952,4517,20079239
"The Beast from 20,000 Fathoms",80.0,1953,2108320,50198098
Titanic,98.0,1953,18121513,49244335
House of Wax,90.0,1953,6606069,238942950
Peter Pan,77.0,1953,40158479,877509463
Roman Holiday,119.0,1953,15059429,120475437
Robot Monster,66.0,1953,160633,10039619
From Here to Eternity,118.0,1953,16565372,306208403
Niagara,92.0,1953,12549524,85336768
The War of the Worlds,85.0,1953,20079239,20079239
The Robe,135.0,1953,41162441,361426312
Shane,118.0,1953,31122821,200792395
七人の侍,207.0,1954,20079239,2729180
The Silver Chalice,142.0,1954,45178289,32126783
Prince Valiant,100.0,1954,29817670,26103011
The Caine Mutiny,124.0,1954,20079239,218361730
The Egyptian,139.0,1954,50198098,150594296
On the Waterfront,108.0,1954,9136054,96380349
Dial M for Murder,104.0,1954,14055467,30118859
"20,000 Leagues Under the Sea",127.0,1954,50198098,283117277
Sabrina,113.0,1954,22476831,100396197
Rear Window,112.0,1954,10039619,369099724
The Trouble with Harry,99.0,1955,12047543,70277338
The Fast and the Furious,73.0,1955,662614,2509904
To Catch a Thief,106.0,1955,25099049,87846673
Bad Day at Black Rock,81.0,1955,12760356,38030079
East of Eden,115.0,1955,10,50
Underwater!,99.0,1955,35138669,22087163
Marty,90.0,1955,3443589,30118859
War and Peace,208.0,1956,60237718,125495247
Invasion of the Body Snatchers,80.0,1956,4186521,30118859
The Man Who Knew Too Much,120.0,1956,25099049,102906102
Moby Dick,116.0,1956,45178289,104412045
The Wrong Man,105.0,1956,12047543,20079239
Trapeze,105.0,1956,40158479,144570524
The King and I,133.0,1956,45680270,213843901
Somebody Up There Likes Me,113.0,1956,19276069,33733122
Love Me Tender,89.0,1956,10039619,90356578
Giant,201.0,1956,54213946,351386692
The Ten Commandments,220.0,1956,130515057,1231861347
Around the World in Eighty Days,167.0,1956,60237718,421664030
The Searchers,119.0,1956,37648574,98388273
Forbidden Planet,98.0,1956,19075277,32628764
Legend of the Lost,109.0,1957,17569334,22087163
I Was a Teenage Werewolf,76.0,1957,823248,20079239
Witness for the Prosecution,116.0,1957,30118859,90356578
12 Angry Men,96.0,1957,3513866,10039619
The Bridge on the River Kwai,161.0,1957,30118859,273077658
Macabre,72.0,1958,903565,50198098
Vertigo,128.0,1958,24888217,281109353
Touch of Evil,95.0,1958,8322844,22563694
The Fly,94.0,1958,7027733,30118859
Attack of the 50 Foot Woman,65.0,1958,883486,4819017
Cat on a Hot Tin Roof,108.0,1958,30118859,176399372
South Pacific,157.0,1958,60237718,369458008
Sleeping Beauty,75.0,1959,60237718,512020608
The Nun's Story,149.0,1959,35138669,128507133
Solomon and Sheba,139.0,1959,50198098,122483361
Ben-Hur,212.0,1959,150594296,1474820146
Some Like It Hot,122.0,1959,28952737,250990494
North by Northwest,136.0,1959,40158479,133275952
Elmer Gantry,146.0,1960,30118859,104412045
The Magnificent Seven,128.0,1960,20079239,49244335
The Bellboy,72.0,1960,9035657,100396197
The Apartment,125.0,1960,30118859,250990494
Cinderfella,91.0,1960,30118859,71281300
House of Usher,79.0,1960,2710697,14557448
Psycho,109.0,1960,8101451,321267833
Ποτέ την Κυριακή,91.0,1960,1515982,80316958
Peeping Tom,101.0,1960,1505942,842896
The Time Machine,103.0,1960,7529714,26203407
Exodus,208.0,1960,40158479,218361730
The Alamo,167.0,1960,120475437,79312996
Spartacus,197.0,1960,120475437,602377186
"One, Two, Three",115.0,1961,29686043,39581391
The Guns of Navarone,158.0,1961,59372087,285975556
The Hustler,134.0,1961,19790695,75204644
One-Eyed Jacks,141.0,1961,59372087,42549996
Pocketful of Miracles,136.0,1961,28696509,49476739
Une Femme est une femme,84.0,1961,1583255,996016
King of Kings,168.0,1961,49842867,143317808
The Pit and the Pendulum,80.0,1961,1979069,19790695
One Hundred and One Dalmatians,79.0,1961,39581391,2136207861
Judgment at Nuremberg,186.0,1961,29686043,98953479
Parrish,138.0,1961,14843021,41560461
The Misfits,124.0,1961,39581391,81141853
West Side Story,152.0,1961,59372087,431999445
Voyage to the Bottom of the Sea,105.0,1961,15634649,69267435
Breakfast at Tiffany's,110.0,1961,24738369,94005805
Dr. No,110.0,1962,9300992,583514904
Vivre sa vie: film en douze tableaux,85.0,1962,626593,240034
Birdman of Alcatraz,147.0,1962,25944874,30350607
The Longest Day,178.0,1962,97905185,490504978
How the West Was Won,162.0,1962,146857778,489525926
Lawrence of Arabia,216.0,1962,146857778,685291114
Mutiny on the Bounty,178.0,1962,186019852,133934293
Eegah,90.0,1962,146857,32054
The Manchurian Candidate,126.0,1962,783241483,940926693
The Man Who Shot Liberty Valance,123.0,1962,31329659,78324148
The Miracle Worker,106.0,1962,4895259,24476296
To Kill a Mockingbird,129.0,1962,19581037,128548000
What Ever Happened to Baby Jane?,135.0,1962,9594708,88114666
Lolita,153.0,1962,19581037,90562296
55 Days at Peking,154.0,1963,164467225,96745426
Blood Feast,67.0,1963,237026,38698170
The Sword in the Stone,79.0,1963,29023628,214604121
The Birds,119.0,1963,24186356,110323928
Donovan's Reef,109.0,1963,25985821,63851981
Le Mépris,103.0,1963,8707088,5112299
Tom Jones,128.0,1963,9674542,363762805
The Great Escape,172.0,1963,38698170,113622386
Hud,112.0,1963,24186356,96745426
Cleopatra,248.0,1963,301023396,686892531
Charade,113.0,1963,38698170,130360476
"It's a Mad, Mad, Mad, Mad World",163.0,1963,90940701,580472561
From Russia with Love,115.0,1963,19349085,763309470
The Raven,86.0,1963,3386089,14504800
Goldfinger,110.0,1964,23890197,1193373283
My Fair Lady,170.0,1964,162453341,688713592
Bande à part,97.0,1964,1146729,1747395
The Train,133.0,1964,55425257,64981336
A Hard Day's Night,88.0,1964,5351404,117536597
Marnie,130.0,1964,20403767,66892552
Zulu,138.0,1964,33446276,76448631
Per un pugno di dollari,99.0,1964,1911215,138563144
The Night of the Iguana,125.0,1964,28668236,114672946
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95.0,1964,17200942,90211984
Mary Poppins,139.0,1964,57336473,977326249
The Fall of the Roman Empire,188.0,1964,181565499,45391374
Thunderball,130.0,1965,51894746,1332238695
The Great Race,160.0,1965,113224900,239030342
Doctor Zhivago,197.0,1965,103789492,1055429335
Major Dundee,123.0,1965,35854551,140332
Per qualche dollaro in più,132.0,1965,5661245,141531125
The Sound of Music,174.0,1965,77370348,2700548673
A Patch of Blue,105.0,1965,7548326,64085293
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,138.0,1965,52838286,282590481
The Greatest Story Ever Told,199.0,1965,188708167,145997215
"Il buono, il brutto, il cattivo",161.0,1966,11145810,55729050
Who's Afraid of Virginia Woolf?,131.0,1966,69661313,313352274
A Man for All Seasons,120.0,1966,36223882,263319763
Fantastic Voyage,100.0,1966,47509015,111458101
La battaglia di Algeri,121.0,1966,7430540,8559499
Harper,121.0,1966,32508612,111458101
Torn Curtain,128.0,1966,27864525,120746276
Hawaii,189.0,1966,139322626,321019969
The Sand Pebbles,182.0,1966,111458101,185763501
Dracula: Prince of Darkness,90.0,1966,2604209,3389598
El Dorado,120.0,1966,43217878,55729050
Point Blank,92.0,1967,22540815,28852243
A Countess from Hong Kong,113.0,1967,31557141,18032652
Cool Hand Luke,126.0,1967,27048978,146224729
Casino Royale,131.0,1967,108195912,376383988
Guess Who's Coming to Dinner,108.0,1967,36065304,510925146
You Only Live Twice,117.0,1967,85655097,1006084822
Bonnie and Clyde,111.0,1967,22540815,457127731
The Graduate,106.0,1967,27048978,946221088
In Cold Blood,134.0,1967,31557141,117280321
Doctor Dolittle,152.0,1967,162293869,81146934
The Born Losers,113.0,1967,3245877,324587738
Wait Until Dark,108.0,1967,36065304,99179586
Hombre,111.0,1967,52835670,108195912
The Dirty Dozen,150.0,1967,48688160,408439570
In the Heat of the Night,109.0,1967,18032652,246866809
Valley of the Dolls,123.0,1967,45081630,450816302
The Jungle Book,78.0,1967,36065304,1855953122
Candy,124.0,1968,26319203,143951003
Star!,176.0,1968,125630329,122822947
Chitty Chitty Bang Bang,144.0,1968,87730676,68429928
Planet of the Apes,112.0,1968,50883792,292980333
Vixen!,70.0,1968,666753,52638406
Night of the Living Dead,96.0,1968,1000129,263192030
Bullitt,113.0,1968,48251872,371108422
Oliver!,153.0,1968,87730676,328137972
Hang 'em High,114.0,1968,15791521,59656860
Rosemary's Baby,136.0,1968,28073816,292980333
La mariée était en noir,107.0,1968,6553481,390980
Barbarella,98.0,1968,78957609,21932669
Shalako,113.0,1968,12764813,22985437
C'era una volta il West,175.0,1968,43865338,46685949
Funny Girl,149.0,1968,122822947,458158599
2001: A Space Odyssey,149.0,1968,92117210,602709750
Where Eagles Dare,155.0,1968,67552621,184234421
Charly,103.0,1968,8334414,7147119
The Green Berets,142.0,1968,61411473,96503744
Topaz,143.0,1969,33654614,50481921
Midnight Cowboy,113.0,1969,30289152,376805921
Easy Rider,95.0,1969,3028915,351089967
Hard Contract,106.0,1969,33654614,14723893
Paint Your Wagon,158.0,1969,168273071,266534263
The Wild Bunch,145.0,1969,52535584,5373304
"Hello, Dolly!",146.0,1969,201927685,279401440
Sweet Charity,149.0,1969,67309228,168273071
Bob & Carol & Ted & Alice,101.0,1969,16827307,252409607
On Her Majesty's Secret Service,142.0,1969,54688748,689704985
Butch Cassidy and the Sundance Kid,110.0,1969,50481921,860791549
The Aristocats,78.0,1970,31911485,444170041
Myra Breckinridge,94.0,1970,39889357,23933614
Kelly's Heroes,144.0,1970,31911485,41484931
Patton,172.0,1970,95734457,716412853
The Private Life of Sherlock Holmes,125.0,1970,79778714,11966807
Airport,137.0,1970,79778714,801689525
Woodstock,225.0,1970,4786722,275277330
The Molly Maguires,124.0,1970,87756585,17551317
Tora! Tora! Tora!,144.0,1970,203316053,235732466
Chisum,111.0,1970,47867228,47867228
Joe,107.0,1970,845654,154126524
Beneath the Planet of the Apes,95.0,1970,23933614,151577307
Love Story,99.0,1970,17551317,1088181661
The Ballad of Cable Hogue,121.0,1970,29653317,39889357
Little Big Man,139.0,1970,119668071,251778047
M*A*S*H,116.0,1970,27922549,650994308
Beyond the Valley of the Dolls,109.0,1970,16673751,319114856
Waterloo,128.0,1970,199446785,24348463
Zabriskie Point,113.0,1970,55845099,7977871
Catch-22,121.0,1970,143601685,198742100
Sweet Sweetback's Baadasssss Song,97.0,1971,1130669,114574494
Escape from the Planet of the Apes,98.0,1971,18844489,93083522
Diamonds Are Forever,120.0,1971,54272128,874531638
Straw Dogs,118.0,1971,16583150,24511358
Dirty Harry,102.0,1971,30151182,271179736
Fiddler on the Roof,181.0,1971,67840160,627931017
A Clockwork Orange,136.0,1971,16583150,200422448
Play Misty for Me,102.0,1971,5464901,79900634
