original_title,runtime,year_release,budget_adjusted,revenue_final_adjusted
The French Connection,104.0,1971,13568032,310246300
THX 1138,86.0,1971,5856867,18369608
Willy Wonka & the Chocolate Factory,100.0,1971,22613386,30151182
Bananas,82.0,1971,15075591,89199982
Shaft,100.0,1971,30151182,91370279
Vanishing Point,99.0,1971,9799134,544728648
The Last Picture Show,118.0,1971,9799134,219598601
Bedknobs and Broomsticks,117.0,1971,150755913,134926542
The Andromeda Strain,131.0,1971,48995671,93292002
Beröringen,115.0,1971,52010790,49221805
The Cowboys,131.0,1972,43365206,54206508
Shaft's Big Score!,104.0,1972,14296063,72275344
The Legend of Boggy Creek,90.0,1972,722753,159005758
猛龍過江,100.0,1972,939579,614340430
Frenzy,116.0,1972,25296370,91066934
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,88.0,1972,14455068,130213357
Die Angst des Tormanns beim Elfmeter,101.0,1972,2963289,722
Conquest of the Planet of the Apes,88.0,1972,12286808,70107084
The Godfather,175.0,1972,43365206,1771225933
The Poseidon Adventure,117.0,1972,36137672,611182850
Pink Flamingos,93.0,1972,86730,43365206
Deliverance,109.0,1972,14455068,333350910
The Last House on the Left,84.0,1972,650478,22405356
The Getaway,118.0,1972,24228531,425210286
Ultimo tango a Parigi,129.0,1972,9034418,261232005
Heavy Traffic,76.0,1973,6648597,10497784
The Exorcist,122.0,1973,55988186,3088491345
Papillon,151.0,1973,83982279,372790341
Sleeper,89.0,1973,13997046,128386013
High Plains Drifter,105.0,1973,38491878,109876816
The Crazies,103.0,1973,1924593,1006275
Battle for the Planet of the Apes,93.0,1973,11897489,61899104
American Graffiti,110.0,1973,5437852,979793264
Dillinger,107.0,1973,6998523,13997046
The Sting,129.0,1973,38491878,1117078586
Serpico,129.0,1973,20995569,208555994
Shaft in Africa,112.0,1973,14990836,10203846
Pat Garrett & Billy the Kid,106.0,1973,32464630,76983756
Enter the Dragon,99.0,1973,5948744,629867098
Mean Streets,110.0,1973,3499261,20995569
Live and Let Die,121.0,1973,48989663,1132205957
Robin Hood,83.0,1973,104977849,224347931
The Lords of Flatbush,86.0,1974,1054612,26365307
The Front Page,105.0,1974,26365307,98869904
The Conversation,113.0,1974,10546123,29133665
Chinatown,130.0,1974,39547961,197739808
Airport 1975,107.0,1974,19773980,309792366
The Longest Yard,121.0,1974,19114848,283480283
The Towering Inferno,159.0,1974,92278577,764593926
Flesh Gordon,90.0,1974,4613928,5971742
Earthquake,123.0,1974,46139288,525108957
The Man with the Golden Gun,125.0,1974,46139288,643128953
Blazing Saddles,93.0,1974,17137450,787663570
The Godfather: Part II,200.0,1974,85687250,313370409
The Sugarland Express,110.0,1974,19773980,84368984
The Texas Chain Saw Massacre,83.0,1974,560262,203401758
Young Frankenstein,106.0,1974,18455715,568655745
Death Wish,93.0,1974,19773980,145009192
The Great Gatsby,144.0,1974,42843625,174888996
The Rocky Horror Picture Show,100.0,1975,7122242,670038713
One Flew Over the Cuckoo's Nest,133.0,1975,17805605,646825877
Let's Do It Again,110.0,1975,415464,70035383
Monty Python and the Holy Grail,91.0,1975,2374080,29847822
The Return of the Pink Panther,113.0,1975,29676009,248289363
Breakout,96.0,1975,5935201,94963231
Tommy,111.0,1975,29676009,203289718
Capone,101.0,1975,5757145,11870403
Bite the Bullet,132.0,1975,23740807,65287221
Dog Day Afternoon,125.0,1975,10683363,276971280
At Long Last Love,118.0,1975,35611211,8902802
Bizim Aile,88.0,1975,389942,1273694
Lucky Lady,118.0,1975,77157625,145066574
Barry Lyndon,184.0,1975,65287221,118704039
Jaws,124.0,1975,41546413,2793426543
Death Race 2000,80.0,1975,1780560,47481615
"Farewell, My Lovely",95.0,1975,14838004,11870403
Hard Times,93.0,1975,16025045,29676009
Love and Death,85.0,1975,17805605,119735233
The Omen,111.0,1976,15226393,331299033
Logan's Run,119.0,1976,48941980,135949945
Carrie,98.0,1976,9788396,183804326
Marathon Man,125.0,1976,35346985,118053603
Family Plot,121.0,1976,10875995,42960182
Jackson County Jail,84.0,1976,2419909,12507395
Rocky,119.0,1976,5437997,637524475
Cannonball,93.0,1976,4241638,8156996
A Star Is Born,139.0,1976,32627986,875517650
King Kong,134.0,1976,125073950,492761155
Taxi Driver,114.0,1976,7069397,153691816
Stay Hungry,102.0,1976,27189989,135160158
The Outlaw Josey Wales,135.0,1976,20120591,172928331
Tosun Paşa,94.0,1976,349119,3796810
All the President's Men,138.0,1976,46222981,383922646
The Enforcer,96.0,1976,48941980,251431267
Network,121.0,1976,20664391,128825499
The Pink Panther Strikes Again,103.0,1976,32627986,183984873
The Bad News Bears,102.0,1976,190329924,192087985
Silver Streak,114.0,1976,35346985,277767839
Star Wars,121.0,1977,56568236,3987536197
Tentacoli,102.0,1977,3856925,15427700
The Last Wave,106.0,1977,4165479,6469349
I Never Promised You a Rose Garden,96.0,1977,15427700,16456214
Eraserhead,89.0,1977,51425,35997968
The Spy Who Loved Me,125.0,1977,71995937,953630799
A Bridge Too Far,175.0,1977,113136473,260985274
Sinbad and the Eye of the Tiger,113.0,1977,17998984,82281071
Saturday Night Fever,118.0,1977,17998984,1219370433
Damnation Alley,91.0,1977,87423638,44843184
Close Encounters of the Third Kind,135.0,1977,102851339,1562253407
Orca: The Killer Whale,92.0,1977,30855401,75687550
The Gauntlet,109.0,1977,28284118,135839148
High Anxiety,94.0,1977,17484727,159743753
Annie Hall,93.0,1977,20570267,196710515
Airport '77,114.0,1977,30855401,154277009
Exorcist II: The Heretic,118.0,1977,71995937,158129522
The Rescuers,78.0,1977,6171080,366232377
Kingdom of the Spiders,97.0,1977,2571283,87423638
Wizards,80.0,1977,6171080,46283102
Sorcerer,121.0,1977,113136473,61710803
The Hills Have Eyes,89.0,1977,1182790,128564174
The Kentucky Fried Movie,83.0,1977,3085540,102851339
Midnight Express,121.0,1978,11105837,169001876
"Same Time, Next Year",119.0,1978,569,91
Force 10 from Navarone,118.0,1978,24143125,34910959
Grease,110.0,1978,28971750,877910524
Halloween,91.0,1978,1448587,338003753
The Deer Hunter,183.0,1978,72429375,241431252
Watership Down,88.0,1978,4828625,17932393
Animal House,109.0,1978,13037287,680836132
Damien: Omen II,107.0,1978,32834650,128047193
Superman,143.0,1978,265574377,1449640242
Good Guys Wear Black,95.0,1978,4828625,88363838
Convoy,110.0,1978,57943500,109924040
The Fury,118.0,1978,26557437,115887001
An Unmarried Woman,124.0,1978,12143992,115887001
F.I.S.T.,145.0,1978,53,53
I Wanna Hold Your Hand,104.0,1978,13037287,9390140
Dawn of the Dead,127.0,1978,3138606,265574377
The Wiz,134.0,1978,115887001,101637984
Every Which Way But Loose,110.0,1978,24,410
Eyes of Laura Mars,104.0,1978,33800375,96572501
Invasion of the Body Snatchers,115.0,1978,16900187,116111691
Death on the Nile,140.0,1978,38242710,70305186
The Buddy Holly Story,113.0,1978,5794350,69355473
Jaws 2,116.0,1978,96572501,907221422
Killer of Sheep,83.0,1978,482862,1749034
Big Wednesday,120.0,1978,53114875,21728812
The Lord of the Rings,132.0,1978,19314500,147135061
Star Trek: The Motion Picture,132.0,1979,157019756,623592745
Life of Brian,94.0,1979,17945114,89927973
Hair,121.0,1979,49349066,68571168
Rocky II,119.0,1979,31403951,898072969
Apocalypse Now,153.0,1979,141317780,401344205
The First Great Train Robbery,110.0,1979,26917672,58446597
The Concorde... Airport '79,123.0,1979,62807902,58392004
The Black Stallion,118.0,1979,12112952,169579734
Prophecy,102.0,1979,53835344,242259052
The In-Laws,103.0,1979,40376508,171375847
Tim,109.0,1979,2691767,3629399
The Frisco Kid,114.0,1979,41273764,41929555
The Rose,125.0,1979,41498078,130885603
Alien,117.0,1979,49349066,470753308
Breaking Away,100.0,1979,10318441,89725574
The China Syndrome,122.0,1979,26469044,232023010
The Warriors,93.0,1979,17945114,100896583
Moonraker,126.0,1979,152533477,943500754
Kramer vs. Kramer,105.0,1979,35890229,476711979
More American Graffiti,110.0,1979,11215696,67360012
Escape from Alcatraz,111.0,1979,35890229,192909985
1941,113.0,1979,157019756,142465110
Caligola,156.0,1979,78509878,105149939
The Black Hole,98.0,1979,89725574,160796758
Mad Max,93.0,1979,1794511,448627874
Phantasm,89.0,1979,1345883,53783613
The Blue Lagoon,104.0,1980,18146016,237322092
The Long Riders,99.0,1980,40324480,63693278
Battle Beyond the Stars,104.0,1980,8064896,44356928
Dressed to Kill,105.0,1980,26210912,128631060
Prom Night,92.0,1980,4032448,59665052
Motel Hell,102.0,1980,12097344,25576479
Flash Gordon,111.0,1980,141135681,109311440
American Gigolo,117.0,1980,19355750,91712683
Friday the 13th,95.0,1980,2217846,240957323
Xanadu,96.0,1980,80648960,90615539
Airplane!,88.0,1980,14113568,336522059
The Shining,144.0,1980,76616512,177497773
Atlantic City,104.0,1980,29033625,51331765
Heaven's Gate,219.0,1980,177427713,14050383
Rough Cut,112.0,1980,56454272,67164958
Superman II,127.0,1980,217752194,768014836
The Fog,89.0,1980,4032448,86207129
The Elephant Man,124.0,1980,20162240,104887457
Ordinary People,124.0,1980,24194688,220844771
The Blues Brothers,133.0,1980,108876097,464658544
Terror Train,97.0,1980,14113568,32259584
Raging Bull,129.0,1980,72584064,92746304
Stardust Memories,89.0,1980,40324480,41893114
Used Cars,113.0,1980,32259584,47241423
When Time Ran Out...,121.0,1980,80648960,15178086
The Gods Must Be Crazy,109.0,1980,20162240,241946882
Caddyshack,98.0,1980,24194688,160678311
The Empire Strikes Back,124.0,1980,72584064,2171070025
Galaxina,95.0,1980,22178464,19617859
Coal Miner's Daughter,125.0,1980,60486720,270911097
The Hollywood Knights,91.0,1980,10081120,40324480
Altered States,102.0,1980,60486720,80059787
The Big Red One,113.0,1980,18146016,29058707
Honky Tonk Freeway,107.0,1981,85230676,3336152
Scanners,103.0,1981,14560240,50520043
Absence of Malice,116.0,1981,42615338,144597262
Roadgames,101.0,1981,6214736,355127
The Legend of the Lone Ranger,98.0,1981,63923007,10460645
Sphinx,118.0,1981,49717894,1561014
Das Boot,149.0,1981,49717894,301858645
Goodbye Pork Pie,105.0,1981,1065383,4971789
This Is Elvis,144.0,1981,17756390,7204165
Pelle Svanslös,81.0,1981,173089,3392894
Escape to Victory,116.0,1981,35512781,97494724
An American Werewolf in London,97.0,1981,35512781,113545901
Blow Out,108.0,1981,63923007,42615338
Under the Rainbow,98.0,1981,71025563,8159036
Raiders of the Lost Ark,115.0,1981,63923007,1384735595
Dead & Buried,94.0,1981,10653834,767665
The Amateur,112.0,1981,35512781,24475757
Taps,126.0,1981,49717894,127334818
Gallipoli,112.0,1981,10653834,41692005
Private Lessons,87.0,1981,9943578,93324039
Escape from New York,99.0,1981,21307669,178432907
Arthur,97.0,1981,24858947,339010989
Time Bandits,116.0,1981,17756390,150451963
For Your Eyes Only,127.0,1981,99435789,693610093
Chariots of Fire,123.0,1981,19532030,209429187
La Guerre du feu,100.0,1981,42615338,196245614
Excalibur,140.0,1981,39064060,124179096
Neighbors,94.0,1981,30185864,106240773
Reds,195.0,1981,113640902,143410056
Halloween II,92.0,1981,8878195,90677690
History of the World: Part I,92.0,1981,39064060,112479303
Stripes,106.0,1981,35512781,302924029
The Cannonball Run,95.0,1981,63923007,256329764
Nighthawks,99.0,1981,17756390,70689467
